id,text,Sentiment,device,date
1.23E+18,"I was thrilled to be back in the Great city of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG2020 https://t.co/dNJZfRsl9y",0.458928571,Twitter for iPhone,2020-03-03
1.3E+18,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, &amp; the Democrats know it. Almost all recent elections using this system, even though much smaller &amp;  with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots &amp; Fraud!",0.021130952,Twitter for iPhone,2020-09-12
1.22E+18,Getting a little exercise this morning! https://t.co/fyAAcbhbgk,-0.234375,Twitter for iPhone,2020-02-01
1.22E+18,Thank you Elise! https://t.co/Y4Hb0zf5jk,0,Twitter for iPhone,2020-01-09
1.32E+18,"As per your request, Joe... https://t.co/78mzcfLEsF https://t.co/AalVkSfHFi",0,Twitter for iPhone,2020-10-23
1.33E+18,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,0.241071429,Twitter for iPhone,2020-11-09
1.32E+18,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!",0.35,Twitter for iPhone,2020-10-12
1.32E+18,"HUGE win today for the United States and for peace in the world. Sudan has agreed to a peace and normalization agreement with Israel! With the United Arab Emirates and Bahrain, that’s THREE Arab countries to have done so in only a matter of weeks. More will follow! https://t.co/UHB8H6oaZc",0.50625,Twitter for iPhone,2020-10-23
1.32E+18,Thank you Megyn! https://t.co/sC71EEWIOd,0,Twitter for iPhone,2020-10-23
1.32E+18,11 DAYS! #MAGA https://t.co/PuqeF1ctDs,0,Twitter for iPhone,2020-10-23
1.33E+18,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp &amp; @AdamLaxalt are finding things that, when released, will be absolutely shocking!",-0.75,Twitter for iPhone,2020-11-09
1.33E+18,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI,0.3378125,Twitter for iPhone,2020-11-09
1.32E+18,"Nobody is showing up for Obama’s hate laced speeches. 47 people! No energy, but still better than Joe!",-0.1875,Twitter for iPhone,2020-10-24
1.33E+18,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,-0.116666667,Twitter for iPhone,2020-11-09
1.32E+18,Just landed in Ohio. See you in a little while!,-0.234375,Twitter for iPhone,2020-10-24
1.33E+18,"Georgia will be a big presidential win, as it was the night of the Election!",0.5,Twitter for iPhone,2020-11-09
1.32E+18,"THANK YOU OHIO! #VOTE 
https://t.co/5EJjFZVLHZ",0,Twitter for iPhone,2020-10-24
1.35E+18,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. @SenTomCotton Republicans have pluses &amp; minuses, but one thing is sure, THEY NEVER FORGET!",0.08125,Twitter for iPhone,2021-01-04
1.32E+18,"Great to be in Ohio, leaving now for Wisconsin. See you in a little while! https://t.co/jglAVPFzmR",0.2828125,Twitter for iPhone,2020-10-24
1.35E+18,"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” @SenTedCruz  True!",0.209375,Twitter for iPhone,2021-01-04
1.35E+18,"“We are not acting to thwart the Democratic process, we are acting to protect it.” @SenRonJohnson",0,Twitter for iPhone,2021-01-04
1.35E+18,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!",-0.072685185,Twitter for iPhone,2021-01-04
1.32E+18,Very good reviews on last night’s @NBCNews Town Hall in Miami. Thank you!!!,0.455,Twitter for iPhone,2020-10-16
1.32E+18,"Polls numbers are looking very strong. Big crowds, great enthusiasm. Massive RED WAVE coming!!!",0.272666667,Twitter for iPhone,2020-10-16
1.32E+18,Biden lied Pennsylvania! https://t.co/zmD8Ew0bmS,0,Twitter for iPhone,2020-10-16
1.32E+18,Thank you! https://t.co/ceq1n14MYa,0,Twitter for iPhone,2020-10-16
1.32E+18,"Thank you LIBERTARIANS. We are getting it all done, and FAST! VOTE TRUMP!!! https://t.co/ai2vTb1V3G",0.48828125,Twitter for iPhone,2020-10-16
1.32E+18,The process has long begun. Happening fast! https://t.co/nLLq7x0Bim,0.1,Twitter for iPhone,2020-10-16
1.35E+18,Heading to Georgia now. See you soon!,0,Twitter for iPhone,2021-01-04
1.33E+18,"This is good news, it means I won! 
cc: @RepDougCollins @SecretarySonny https://t.co/zO4AlPF8O0",0.875,Twitter for iPhone,2020-11-10
1.35E+18,"On my way, see you soon! https://t.co/7QW23k5b9r",0,Twitter for iPhone,2021-01-05
1.33E+18,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY! https://t.co/9coP3R44UQ,0,Twitter for iPhone,2020-11-18
1.33E+18,Dominion is running our Election. Rigged! https://t.co/xvwrpLpAZa,0,Twitter for iPhone,2020-11-16
1.33E+18,"...The worst polling ever, and then they’ll be back in four years to do it again. This is much more then voter and campaign finance suppression!",-0.125,Twitter for iPhone,2020-11-10
1.32E+18,"Thank you OHIO! #VOTE
https://t.co/gsFSghkmdM https://t.co/oOzmfm8vCo",0,Twitter for iPhone,2020-10-25
1.32E+18,What a terrible thing for Biden to say! Rigged Election? https://t.co/jQXxeQCZU9,-1,Twitter for iPhone,2020-10-25
